timestamp,pose_e,pose_n,pose_u,gnss_position_status
1665831201.33795,0,0,0,0
1665831201.37795,0,0,0,0
1665831201.41769,753.3700109,-281.6191479,17.41351872,4
1665831201.45769,0,0,0,0
1665831201.49769,0,0,0,0
1665831201.53769,0,0,0,0
1665831201.57769,0,0,0,0
1665831201.61751,753.5079186,-279.8129526,17.46398221,4
1665831201.65751,0,0,0,0
1665831201.69751,0,0,0,0
1665831201.73751,0,0,0,0
1665831201.77751,0,0,0,0
1665831201.81778,753.6353494,-278.0156343,17.52774603,4
1665831201.85778,0,0,0,0
1665831201.89778,0,0,0,0
1665831201.93778,0,0,0,0
1665831201.97778,0,0,0,0
1665831202.0158,753.7664251,-276.2236779,17.58770868,4
1665831202.0558,0,0,0,0
1665831202.0958,0,0,0,0
1665831202.13579,0,0,0,0
1665831202.1758,0,0,0,0
1665831202.21957,753.9183123,-274.4315366,17.69066838,4
1665831202.25957,0,0,0,0
1665831202.29957,0,0,0,0
1665831202.33957,0,0,0,0
1665831202.37957,0,0,0,0
1665831202.41761,754.0496935,-272.6451278,17.76192973,4
1665831202.45761,0,0,0,0
1665831202.49761,0,0,0,0
1665831202.53761,0,0,0,0
1665831202.57761,0,0,0,0
1665831202.61868,754.1614797,-270.8361612,17.82109386,4
1665831202.65868,0,0,0,0
1665831202.69868,0,0,0,0
1665831202.73868,0,0,0,0
1665831202.77868,0,0,0,0
1665831202.81579,754.2823749,-269.0360679,17.84555603,4
1665831202.85579,0,0,0,0
1665831202.89579,0,0,0,0
1665831202.93579,0,0,0,0
1665831202.97579,0,0,0,0
1665831203.01898,754.3962791,-267.215819,17.84301935,4
1665831203.05898,0,0,0,0
1665831203.09898,0,0,0,0
1665831203.13898,0,0,0,0
1665831203.17898,0,0,0,0
1665831203.2176,754.5334239,-265.3656154,17.89708065,4
1665831203.2576,0,0,0,0
1665831203.2976,0,0,0,0
1665831203.3376,0,0,0,0
1665831203.3776,0,0,0,0
1665831203.41749,754.6556872,-263.5185571,17.96644304,4
1665831203.45749,0,0,0,0
1665831203.49749,0,0,0,0
1665831203.53749,0,0,0,0
1665831203.57749,0,0,0,0
1665831203.61952,754.7844793,-261.6779692,18.01790386,4
1665831203.65952,0,0,0,0
1665831203.69952,0,0,0,0
1665831203.73952,0,0,0,0
1665831203.77952,0,0,0,0
1665831203.81734,754.9011171,-259.8192602,18.04296631,4
1665831203.85734,0,0,0,0
1665831203.89734,0,0,0,0
1665831203.93734,0,0,0,0
1665831203.97734,0,0,0,0
1665831204.01864,755.0238307,-257.9635095,18.07472738,4
1665831204.05864,0,0,0,0
1665831204.09864,0,0,0,0
1665831204.13864,0,0,0,0
1665831204.17864,0,0,0,0
1665831204.21647,755.1336341,-256.0974049,18.10538985,4
1665831204.25647,0,0,0,0
1665831204.29647,0,0,0,0
1665831204.33647,0,0,0,0
1665831204.37647,0,0,0,0
1665831204.41693,755.2692603,-254.2246432,18.17944899,4
1665831204.45693,0,0,0,0
1665831204.49693,0,0,0,0
1665831204.53693,0,0,0,0
1665831204.57693,0,0,0,0
1665831204.61902,755.3992619,-252.344299,18.21400853,4
1665831204.65902,0,0,0,0
1665831204.69902,0,0,0,0
1665831204.73902,0,0,0,0
1665831204.77902,0,0,0,0
1665831204.81706,755.5236415,-250.4663582,18.22386809,4
1665831204.85706,0,0,0,0
