%time,field.ecef_vel.e,field.ecef_vel.n,field.ecef_vel.u
1665831175.42509,9.113186775,4.664423292,0.02716119
1665831175.62637,8.866068016,4.688214054,0.287775596
1665831175.82765,9.339605851,4.470867046,-0.248208001
1665831176.02897,8.889994949,4.624852713,0.333465774
1665831176.23034,8.93513897,4.630084752,0.140363902
1665831176.43191,9.115250577,4.732683321,0.092448011
1665831176.63243,9.07692919,4.752337469,0.110390301
1665831176.82362,8.670184848,4.584340057,-0.194848965
1665831177.0251,8.165406596,4.808580169,-0.030792487
1665831177.22647,8.907193773,4.650756109,0.084260328
1665831177.42765,8.632486695,4.369500447,0.369389709
1665831177.6291,8.568672148,4.512329236,-0.044473856
1665831177.8295,8.188481895,3.357970889,2.628114858
1665831178.02986,8.294765344,4.381096619,-0.136008073
1665831178.23158,8.102236675,4.014810013,0.451031009
1665831178.42283,7.975009715,3.849424159,0.304828067
1665831178.62412,7.555995638,3.73796681,-1.073848876
1665831178.82531,7.532204945,3.61046403,0.402580064
1665831179.02657,7.238570544,3.623935515,0.195692976
1665831179.22794,7.089427056,3.464296595,-0.093278969
1665831179.4295,6.866681896,3.322718398,0.165616372
1665831179.63072,6.7564404,3.171780048,-0.003361636
1665831179.83238,6.727119109,3.13000306,0.109462233
1665831180.03279,6.601763246,3.047859156,0.169494029
1665831180.23433,6.577583394,3.05301711,0.086788828
1665831180.42485,6.425622038,2.797619155,0.100545666
1665831180.6263,6.451029347,2.792699962,0.290945325
1665831180.82569,6.337658034,2.835957649,0.251746374
1665831181.02731,6.331070669,2.621780344,0.605403875
1665831181.22678,6.10212074,2.482649215,-0.155767924
1665831181.42813,6.042776028,2.405568757,0.147356651
1665831181.63018,5.884404579,2.308157579,0.112525538
1665831181.83156,5.793409858,2.335091998,-0.190945033
1665831182.03318,5.832861631,2.018084891,0.333058938
1665831182.23353,5.701465461,2.142920535,-0.11569547
1665831182.42395,5.669510879,1.954748127,0.033250089
1665831182.62436,5.637790817,1.86723312,0.332955764
1665831182.82571,5.604834629,1.907988869,0.020799603
1665831183.02715,5.546533898,1.788724986,0.188952334
1665831183.2285,5.47670219,1.693653705,0.111892332
1665831183.42999,5.549389444,1.60138493,0.053605487
1665831183.63038,5.336298173,1.509483422,0.076603819
1665831183.83176,5.387106186,1.518941568,0.156094883
1665831184.03305,5.139151698,1.42087382,0.350595033
1665831184.22443,5.050359246,1.342145815,0.080806835
1665831184.42594,4.700520027,1.247161744,0.277527924
1665831184.62735,4.671061419,1.175528755,-0.051836912
1665831184.82897,4.520293786,1.052163381,-0.060752359
1665831185.03025,4.406517088,1.015030963,0.288985337
1665831185.23082,4.186264965,0.950480719,-0.018653035
1665831185.4326,4.023006994,0.962220302,0.376488088
1665831185.623,3.912126511,0.970103237,-0.174700544
1665831185.82435,4.007240307,0.676273341,0.436928116
1665831186.02586,3.763291579,0.991378065,-0.324583847
1665831186.22714,3.853425697,0.831259384,-0.023727007
1665831186.42757,3.720113966,0.712126751,0.3340796
1665831186.62891,3.660279911,0.790520997,0.015367994
1665831186.83018,3.590714037,0.852336468,-0.006068579
1665831187.03174,3.460779069,0.813378042,0.063499266
1665831187.22328,3.399375615,0.836598628,0.157662476
1665831187.42364,3.256256692,0.861519138,0.154578309
1665831187.62525,3.163012892,0.93640829,-0.01985841
1665831187.82683,2.997398266,1.042105693,0.081711982
1665831188.02847,2.901570063,1.06800704,0.126214743
1665831188.2301,2.720752706,1.087174984,0.191743082
1665831188.43073,2.514283425,1.364256349,0.011717159
1665831188.63227,2.424139461,1.503405969,0.109898109
1665831188.8226,2.267051331,1.68485504,0.170240915
1665831189.02409,1.969689098,1.846275619,0.071791544
1665831189.22442,1.79780312,2.042305383,0.057063936
1665831189.42592,1.620036969,2.169402266,0.162982055
1665831189.63777,1.302846575,2.609992892,0.095349711
1665831189.82927,1.204374354,2.652821145,0.170352128
1665831190.02962,1.051618103,3.028242049,0.096961309
1665831190.23112,0.685034849,3.353241278,0.228045935
1665831190.4326,0.674020337,3.747698176,0.129358672
1665831190.62444,0.668792009,3.883547906,-0.029868353
1665831190.82486,0.293973406,4.085931943,0.250333086
1665831191.02652,0.351776104,4.149336059,0.148828524
1665831191.22714,0.421761675,4.438450157,0.157881602
1665831191.42894,0.197982572,4.921106108,0.247794487
1665831191.63031,0.037608798,4.965053396,0.3561189
1665831191.83086,0.225155865,5.158851106,0.019244673
