%time,estimated_velocity,yaw_rate
1665831590.49754,11.0069446564,0
1665831590.51024,10.9972219467,0
1665831590.52216,10.9874992371,0
1665831590.5349,10.9986114502,0
1665831590.54638,10.9916667938,0
1665831590.55896,10.9888896942,0
1665831590.57094,10.9777774811,0
1665831590.58326,11.0027780533,0
1665831590.59581,10.9805555344,0
1665831590.60784,10.9805555344,0
1665831590.62042,10.9930553436,0
1665831590.63238,11.0069446564,0
1665831590.64451,11.0013885498,0
1665831590.65674,11.009721756,0
1665831590.66887,11.0291671753,0
1665831590.68192,10.990278244,0
1665831590.69326,10.9833335876,0
1665831590.70553,11.0124998093,0
1665831590.71763,10.9972229004,0
1665831590.73072,10.9611110687,0
1665831590.74223,11.0291662216,0
1665831590.75449,11.026389122,0
1665831590.76654,10.9722223282,0
1665831590.77934,10.9597225189,0
1665831590.79137,11.026389122,0
1665831590.80284,10.9916667938,0
1665831590.81592,10.9833335876,0
1665831590.82738,11.0375003815,0
1665831590.8396,11.0472221375,0
1665831590.85174,11.0124998093,0
1665831590.86449,10.9986114502,0
1665831590.87633,11.0236110687,0
1665831590.88868,11.0138893127,0
1665831590.90088,10.990278244,0
1665831590.91329,11.0125007629,0
1665831590.92542,11.0375003815,0
1665831590.93782,11.026389122,0
1665831590.95062,11.0027780533,0
1665831590.96221,11.0208339691,0
1665831590.97436,11.0333328247,0
1665831590.98701,11.0333328247,0
1665831590.99862,11.0375003815,0
1665831591.01142,11.0611114502,0
1665831591.02318,11.0555553436,0
1665831591.03609,11.0402774811,0
1665831591.04747,11.0319442749,0
1665831591.05966,11.0249996185,0
1665831591.07179,11.0194444656,0
1665831591.08395,11.0236110687,0
1665831591.09611,11.0249996185,0
1665831591.10827,11.0361118317,0
1665831591.1205,11.0305557251,0
1665831591.13278,11.0249996185,0
1665831591.14567,11.0458335876,0
1665831591.15779,11.0402774811,0
1665831591.17046,11.0541667938,0
1665831591.18185,11.0458335876,0
1665831591.19397,11.072221756,0
1665831591.20628,11.0763893127,0
1665831591.21862,11.0500001907,0
1665831591.23174,11.026389122,0
1665831591.2432,11.0638885498,0
1665831591.25637,11.0305557251,0
1665831591.26844,11.0458335876,0
1665831591.27976,11.0499992371,0
1665831591.29189,11.0694446564,0
1665831591.30399,11.0555553436,0
1665831591.31631,11.0680561066,0
1665831591.32843,11.0541667938,0
1665831591.34123,11.0569438934,0
1665831591.35354,11.0847225189,0
1665831591.36584,11.0555553436,0
1665831591.3772,11.0569438934,0
1665831591.39123,11.0583333969,0
1665831591.40154,11.0652770996,0
1665831591.41383,11.0444450378,0
1665831591.42628,11.0611114502,0
1665831591.43816,11.0694446564,0
1665831591.45044,11.088889122,0
1665831591.46281,11.0763893127,0
1665831591.47562,11.098610878,0
1665831591.48704,11.0708332062,0
1665831591.50015,11.1083335876,0
1665831591.51166,11.0763893127,0
1665831591.52399,11.0694446564,0
1665831591.53634,11.0847225189,0
1665831591.54937,11.088889122,0
1665831591.56139,11.0750007629,0
1665831591.57277,11.0680561066,0
1665831591.58498,11.0694446564,0
1665831591.59723,11.0805559158,0
1665831591.6105,11.0874996185,0
1665831591.62159,11.0777778625,0
1665831591.63374,11.1013889313,0
1665831591.64598,11.115278244,0
1665831591.65858,11.1069450378,0
1665831591.67139,11.0874996185,0
1665831591.68252,11.0916671753,0
1665831591.69475,11.1000003815,0
1665831591.70782,11.0750007629,0
1665831591.71901,11.0819444656,0
1665831591.7316,11.0930557251,0
1665831591.74364,11.0819444656,0
1665831591.75686,11.0680561066,0
1665831591.76828,11.0791664124,0
1665831591.78152,11.088889122,0
1665831591.79288,11.072221756,0
1665831591.80507,11.0861110687,0
1665831591.81718,11.1000003815,0
1665831591.82972,11.1236114502,0
1665831591.84232,11.0763893127,0
1665831591.85393,11.0819444656,0
1665831591.86616,11.1263885498,0
1665831591.87832,11.0902776718,0
1665831591.89131,11.0555553436,0
1665831591.90278,11.0736112595,0
1665831591.9148,11.1069450378,0
1665831591.92717,11.0652780533,0
1665831591.93944,11.0652780533,0
1665831591.95151,11.0805559158,0
1665831591.96382,11.1013889313,0
1665831591.97587,11.0805549622,0
1665831591.98811,11.1111106873,0
1665831592.00068,11.0958328247,0
1665831592.01254,11.1000003815,0
1665831592.02538,11.0944442749,0
1665831592.03779,11.0972223282,0
1665831592.05021,11.098610878,0
1665831592.06138,11.0805549622,0
1665831592.0741,11.0930557251,0
1665831592.08581,11.0541667938,0
1665831592.09814,11.088889122,0
1665831592.11106,11.0833339691,0
1665831592.12273,11.0902776718,0
1665831592.13491,11.0763893127,0
1665831592.14717,11.1208333969,0
1665831592.15958,11.1236114502,0
1665831592.17162,11.0749998093,0
1665831592.184,11.0847225189,0
1665831592.19581,11.0930557251,0
1665831592.20792,11.0791664124,0
1665831592.22077,11.0638885498,0
1665831592.2325,11.0902776718,0
1665831592.24534,11.0777778625,0
1665831592.25781,11.0902786255,0
1665831592.27,11.1000003815,0
1665831592.2814,11.0930557251,0
1665831592.29357,11.1000003815,0
1665831592.30665,11.0986118317,0
1665831592.31895,11.1138896942,0
1665831592.33101,11.1000003815,0
1665831592.34231,11.1041669846,0
1665831592.35478,11.0972223282,0
1665831592.36733,11.0972223282,0
1665831592.37943,11.0916671753,0
1665831592.39159,11.1125001907,0
1665831592.40377,11.0833339691,0
1665831592.41613,11.1041660309,0
1665831592.42867,11.1055555344,0
1665831592.44105,11.115278244,0
1665831592.45291,11.1263885498,0
1665831592.46492,11.1277780533,0
1665831592.47771,11.1402778625,0
1665831592.49,11.1388893127,0
1665831592.50145,11.1208333969,0
1665831592.51407,11.1277770996,0
1665831592.52601,11.125,0
1665831592.53791,11.1208333969,0
1665831592.55049,11.1305551529,0
1665831592.5624,11.1388893127,0
1665831592.57503,11.1277770996,0
1665831592.58663,11.1125001907,0
1665831592.59882,11.1319446564,0
1665831592.61108,11.1541671753,0
1665831592.62327,11.1625003815,0
1665831592.6366,11.1444444656,0
1665831592.64782,11.1527776718,0
1665831592.66096,11.1666669846,0
1665831592.67271,11.1111106873,0
1665831592.68464,11.0847225189,0
1665831592.69707,11.1361112595,0
1665831592.71023,11.1680555344,0
1665831592.72157,11.1333332062,0
1665831592.73393,11.1180553436,0
1665831592.74599,11.1555557251,0
1665831592.75838,11.1277770996,0
1665831592.77082,11.1236114502,0
1665831592.783,11.125,0
1665831592.7947,11.1638889313,0
1665831592.80695,11.1513881683,0
1665831592.81936,11.1625003815,0
1665831592.83184,11.1319446564,0
1665831592.84374,11.1486110687,0
1665831592.85673,11.1472225189,0
1665831592.86793,11.125,0
1665831592.8803,11.1569442749,0
1665831592.89248,11.1291666031,0
1665831592.90481,11.1388893127,0
1665831592.9168,11.1444444656,0
1665831592.92878,11.1472225189,0
1665831592.94213,11.1583328247,0
1665831592.954,11.1583328247,0
1665831592.96621,11.1749992371,0
1665831592.97861,11.1458339691,0
1665831592.99082,11.1652774811,0
1665831593.00259,11.1583328247,0
1665831593.01487,11.1305561066,0
1665831593.02726,11.1444444656,0
1665831593.03951,11.1652774811,0
1665831593.05161,11.1388893127,0
1665831593.06469,11.0958328247,0
1665831593.07589,11.1444444656,0
1665831593.08815,11.1666669846,0
1665831593.10033,11.1069450378,0
1665831593.11243,11.1333332062,0
1665831593.12502,11.1666660309,0
1665831593.13717,11.1708335876,0
1665831593.14994,11.1097221375,0
1665831593.16116,11.1361103058,0
1665831593.17383,11.1597223282,0
1665831593.18584,11.1180553436,0
1665831593.19857,11.1208333969,0
1665831593.20979,11.1597213745,0
1665831593.22187,11.1263885498,0
1665831593.2343,11.1180553436,0
1665831593.24644,11.134721756,0
1665831593.25872,11.1499996185,0
1665831593.27114,11.1222229004,0
1665831593.2835,11.1472225189,0
1665831593.29586,11.1583328247,0
1665831593.30897,11.1625003815,0
1665831593.32035,11.1027774811,0
1665831593.33276,11.134721756,0
1665831593.34465,11.1194438934,0
1665831593.35684,11.1041660309,0
1665831593.36958,11.1083335876,0
1665831593.38116,11.1222219467,0
1665831593.39327,11.0972223282,0
1665831593.40549,11.0902776718,0
1665831593.41768,11.1027774811,0
1665831593.43051,11.098610878,0
1665831593.44223,11.0902776718,0
1665831593.45466,11.1083335876,0
1665831593.46652,11.1194438934,0
1665831593.47973,11.0736112595,0
1665831593.4909,11.0583333969,0
1665831593.50311,11.0847225189,0
1665831593.51598,11.0861110687,0
1665831593.52816,11.0680561066,0
1665831593.53981,11.0499992371,0
1665831593.55234,11.0791664124,0
1665831593.56459,11.0402774811,0
1665831593.57695,11.0499992371,0
1665831593.58998,11.0791664124,0
1665831593.60173,11.0513887405,0
1665831593.61358,11.134721756,0
1665831593.62602,11.1166667938,0
1665831593.63804,11.0861110687,0
1665831593.65024,11.0319442749,0
1665831593.66306,11.115278244,0
1665831593.67466,11.0611114502,0
1665831593.6868,11.0027780533,0
1665831593.69891,11.0847225189,0
1665831593.71118,11.0833339691,0
1665831593.72335,11.0180549622,0
1665831593.73632,11.0166664124,0
1665831593.74873,11.0472221375,0
1665831593.7608,11.0416660309,0
1665831593.77311,10.9958333969,0
1665831593.78447,11.0430555344,0
1665831593.79663,11.0652780533,0
1665831593.80937,11.0333328247,0
1665831593.82206,10.9944438934,0
1665831593.83365,11.0152778625,0
1665831593.84568,11.026389122,0
1665831593.85874,11.0013885498,0
1665831593.87071,11.0027780533,0
1665831593.88236,11.0041666031,0
1665831593.89464,10.9930553436,0
1665831593.907,10.9875001907,0
1665831593.91955,10.9847221375,0
1665831593.93156,10.990278244,0
1665831593.94367,10.9847221375,0
1665831593.95603,11.0194444656,0
1665831593.96861,11.0111112595,0
1665831593.98038,10.9819450378,0
1665831593.99255,10.9763889313,0
1665831594.0047,10.9791669846,0
1665831594.01757,11.0111112595,0
1665831594.02924,10.9347219467,0
1665831594.04131,10.9638881683,0
1665831594.05349,10.9513893127,0
1665831594.06596,10.9680557251,0
1665831594.07869,10.9416666031,0
1665831594.09028,10.9486112595,0
1665831594.10227,10.9652776718,0
1665831594.11448,10.9847221375,0
1665831594.12733,10.9680557251,0
1665831594.13896,10.9763889313,0
1665831594.15187,10.9555549622,0
1665831594.1637,10.9486112595,0
1665831594.17604,10.9555559158,0
1665831594.18918,10.9388885498,0
1665831594.20042,10.9333333969,0
1665831594.21275,10.8944444656,0
1665831594.22552,10.9027776718,0
1665831594.23779,10.9180555344,0
1665831594.24949,10.9333333969,0
1665831594.26173,10.9263887405,0
1665831594.27482,10.8861112595,0
1665831594.28611,10.9333333969,0
1665831594.29825,10.9055557251,0
1665831594.31061,10.8569450378,0
1665831594.32264,10.8180561066,0
1665831594.33481,10.8805561066,0
1665831594.34701,10.884721756,0
1665831594.35908,10.8874998093,0
1665831594.37213,10.8930559158,0
1665831594.38353,10.9222221375,0
1665831594.39578,10.9430561066,0
1665831594.4078,10.9194450378,0
1665831594.42021,10.9055557251,0
1665831594.43244,10.9138889313,0
1665831594.44462,10.9249992371,0
1665831594.45715,10.9069442749,0
1665831594.46948,10.8888893127,0
1665831594.48241,10.8763885498,0
1665831594.49366,10.8986110687,0
1665831594.50587,10.8902778625,0
1665831594.51825,10.8861103058,0
1665831594.53068,10.8125,0
1665831594.54252,10.8666667938,0
1665831594.55481,10.8819446564,0
1665831594.56753,10.8347225189,0
1665831594.57911,10.8236112595,0
1665831594.59207,10.8666667938,0
1665831594.60405,10.8819446564,0
1665831594.61552,10.8236112595,0
1665831594.62774,10.8097219467,0
1665831594.64017,10.8402786255,0
1665831594.65212,10.8513889313,0
1665831594.66435,10.8000001907,0
1665831594.67661,10.8444442749,0
1665831594.68891,10.8624992371,0
1665831594.70177,10.8305549622,0
1665831594.71301,10.7749996185,0
1665831594.72527,10.8569450378,0
1665831594.73735,10.8597221375,0
1665831594.74986,10.7708330154,0
1665831594.7619,10.822221756,0
1665831594.77498,10.8583335876,0
1665831594.78641,10.8722219467,0
1665831594.79863,10.8000001907,0
1665831594.81181,10.8347225189,0
1665831594.8237,10.8555555344,0
1665831594.83616,10.8333339691,0
1665831594.84758,10.8083333969,0
1665831594.85984,10.8361110687,0
1665831594.8721,10.8138885498,0
1665831594.88428,10.8194446564,0
1665831594.89717,10.8180561066,0
1665831594.90906,10.8263893127,0
1665831594.92072,10.8069438934,0
1665831594.93285,10.8180551529,0
1665831594.94538,10.8611106873,0
1665831594.9573,10.8236112595,0
1665831594.96949,10.7944450378,0
1665831594.9816,10.8083333969,0
1665831594.99393,10.8111114502,0
1665831595.00608,10.7708339691,0
1665831595.01926,10.7513885498,0
1665831595.03051,10.7902774811,0
1665831595.04277,10.7944450378,0
1665831595.05501,10.8013887405,0
1665831595.06835,10.7819442749,0
1665831595.08059,10.8166666031,0
1665831595.09225,10.7875003815,0
1665831595.10543,10.8097219467,0
1665831595.11736,10.7972221375,0
1665831595.12918,10.7999992371,0
1665831595.14118,10.7875003815,0
1665831595.15342,10.7819442749,0
1665831595.16558,10.7777786255,0
1665831595.1778,10.7527780533,0
1665831595.19006,10.7541666031,0
1665831595.20221,10.7513885498,0
1665831595.21428,10.7374992371,0
1665831595.22687,10.7319440842,0
1665831595.23921,10.7541666031,0
1665831595.25071,10.7333335876,0
1665831595.2637,10.7250003815,0
1665831595.27575,10.7361106873,0
1665831595.28832,10.7736110687,0
1665831595.29949,10.7347221375,0
1665831595.31186,10.7430553436,0
1665831595.32414,10.7611112595,0
1665831595.33624,10.7527770996,0
1665831595.34877,10.7347221375,0
1665831595.36106,10.7291660309,0
1665831595.3731,10.7486114502,0
1665831595.38538,10.7180557251,0
1665831595.39759,10.7111110687,0
1665831595.41032,10.7250003815,0
1665831595.4222,10.7305555344,0
1665831595.43451,10.7152776718,0
1665831595.44704,10.7000007629,0
1665831595.45933,10.7277774811,0
1665831595.47089,10.723610878,0
1665831595.48316,10.6999998093,0
1665831595.49527,10.6986103058,0
1665831595.50749,10.713889122,0
1665831595.51973,10.6916666031,0
1665831595.532,10.6902770996,0
1665831595.54413,10.6847229004,0
1665831595.55645,10.6833324432,0
1665831595.56872,10.6458339691,0
1665831595.58138,10.6597223282,0
1665831595.59276,10.6722221375,0
1665831595.60499,10.6583328247,0
1665831595.61721,10.6472225189,0
1665831595.62943,10.677778244,0
1665831595.6426,10.6888885498,0
1665831595.65391,10.6333332062,0
1665831595.66611,10.6236114502,0
1665831595.67865,10.661110878,0
1665831595.69086,10.6458339691,0
1665831595.70303,10.6138887405,0
1665831595.71513,10.6319446564,0
1665831595.72813,10.6486110687,0
1665831595.73989,10.6111106873,0
1665831595.75228,10.6138887405,0
1665831595.76464,10.6208333969,0
1665831595.77662,10.6374998093,0
1665831595.78905,10.598610878,0
1665831595.80054,10.6263885498,0
1665831595.81262,10.6583328247,0
1665831595.82486,10.6527776718,0
1665831595.83736,10.5833339691,0
1665831595.84922,10.6055555344,0
1665831595.8614,10.6916666031,0
1665831595.8742,10.6305561066,0
1665831595.88636,10.5666666031,0
1665831595.89793,10.6069440842,0
1665831595.9102,10.651389122,0
1665831595.92252,10.5513896942,0
1665831595.93538,10.5291671753,0
1665831595.94696,10.6027774811,0
1665831595.95926,10.6263885498,0
1665831595.97152,10.5736112595,0
1665831595.98377,10.5930557251,0
1665831595.99707,10.6138887405,0
1665831596.00846,10.6027774811,0
1665831596.02076,10.5444450378,0
1665831596.03374,10.5430555344,0
1665831596.04598,10.5847225189,0
1665831596.05725,10.5597229004,0
1665831596.06942,10.5249996185,0
1665831596.08196,10.5388889313,0
1665831596.09385,10.5680561066,0
1665831596.10647,10.5458335876,0
1665831596.11826,10.5138893127,0
1665831596.13063,10.5541667938,0
1665831596.14281,10.5708332062,0
1665831596.15466,10.5638885498,0
1665831596.1676,10.5222225189,0
1665831596.17932,10.5430555344,0
1665831596.19145,10.5555553436,0
1665831596.2036,10.5291671753,0
1665831596.21596,10.5194444656,0
1665831596.22846,10.5249996185,0
1665831596.24016,10.5347223282,0
1665831596.25315,10.5138893127,0
1665831596.26485,10.5263881683,0
1665831596.27785,10.5291671753,0
1665831596.29042,10.5013885498,0
1665831596.30155,10.5111112595,0
1665831596.31398,10.5541667938,0
1665831596.32676,10.509721756,0
1665831596.33852,10.4791660309,0
1665831596.35055,10.5083332062,0
1665831596.36318,10.5138893127,0
1665831596.3749,10.4722223282,0
1665831596.38703,10.4847221375,0
1665831596.39925,10.5208339691,0
1665831596.4115,10.4708328247,0
1665831596.42392,10.473610878,0
1665831596.43625,10.4611110687,0
1665831596.44926,10.4652776718,0
1665831596.46032,10.4555549622,0
1665831596.47285,10.4777774811,0
1665831596.48466,10.473610878,0
1665831596.49698,10.4722223282,0
1665831596.50925,10.4666671753,0
1665831596.52206,10.4958333969,0
1665831596.53361,10.4402770996,0
1665831596.546,10.4430561066,0
1665831596.5587,10.4291667938,0
1665831596.57035,10.4624996185,0
1665831596.58256,10.4041671753,0
1665831596.59488,10.418056488,0
1665831596.60821,10.4263896942,0
1665831596.61952,10.4249992371,0
1665831596.63171,10.3958339691,0
1665831596.64394,10.3888893127,0
1665831596.65628,10.3944444656,0
1665831596.66829,10.4236106873,0
1665831596.68049,10.4083328247,0
1665831596.69261,10.3999996185,0
1665831596.7054,10.3875007629,0
1665831596.71699,10.427778244,0
1665831596.72916,10.3902778625,0
1665831596.74227,10.3888893127,0
1665831596.75454,10.3944444656,0
1665831596.76603,10.4083337784,0
1665831596.77801,10.3625001907,0
1665831596.79018,10.3791666031,0
1665831596.80261,10.3930559158,0
1665831596.81449,10.3986110687,0
1665831596.82682,10.365278244,0
1665831596.83905,10.411110878,0
1665831596.85187,10.4236106873,0
1665831596.86358,10.3902778625,0
1665831596.87689,10.3472223282,0
1665831596.88818,10.3805561066,0
1665831596.9014,10.3763885498,0
1665831596.91279,10.3263893127,0
1665831596.92488,10.3374996185,0
1665831596.93712,10.3708333969,0
1665831596.95007,10.348610878,0
1665831596.96255,10.3361110687,0
1665831596.97397,10.3513889313,0
1665831596.98603,10.3666667938,0
1665831596.99826,10.3472213745,0
1665831597.01035,10.3694448471,0
1665831597.02254,10.3777770996,0
1665831597.03493,10.3666667938,0
1665831597.04685,10.3500003815,0
1665831597.05911,10.365278244,0
1665831597.072,10.3569450378,0
1665831597.08349,10.365278244,0
1665831597.0956,10.365278244,0
1665831597.10791,10.3583335876,0
1665831597.12095,10.3513889313,0
1665831597.13251,10.348610878,0
1665831597.14492,10.3319444656,0
1665831597.15788,10.3305549622,0
1665831597.16945,10.3430557251,0
1665831597.18263,10.3555555344,0
1665831597.1947,10.3500003815,0
1665831597.20669,10.365278244,0
1665831597.21881,10.3583335876,0
1665831597.23102,10.3361110687,0
1665831597.24328,10.3444442749,0
1665831597.2554,10.3236112595,0
1665831597.26853,10.3569450378,0
1665831597.28083,10.3736114502,0
1665831597.29223,10.3388881683,0
1665831597.30414,10.3402776718,0
1665831597.31648,10.3888893127,0
1665831597.32888,10.3666667938,0
1665831597.34103,10.3055553436,0
1665831597.35326,10.3416662216,0
1665831597.36548,10.4125003815,0
1665831597.37808,10.3694438934,0
1665831597.38984,10.3416671753,0
1665831597.4028,10.3569440842,0
1665831597.41476,10.3736114502,0
1665831597.42732,10.3569450378,0
1665831597.43868,10.3458328247,0
1665831597.45096,10.3583335876,0
1665831597.46419,10.3472223282,0
1665831597.47554,10.3527774811,0
1665831597.48868,10.338889122,0
1665831597.5003,10.3527774811,0
1665831597.5132,10.3611106873,0
1665831597.52482,10.3458328247,0
1665831597.53698,10.3472213745,0
1665831597.54914,10.3666667938,0
1665831597.56137,10.3638887405,0
1665831597.57352,10.3347225189,0
1665831597.58581,10.3374996185,0
1665831597.59839,10.3458328247,0
1665831597.61063,10.3388881683,0
1665831597.62276,10.3208332062,0
1665831597.63466,10.3541660309,0
1665831597.64661,10.3263893127,0
1665831597.65891,10.322221756,0
1665831597.67195,10.3249998093,0
1665831597.6842,10.338889122,0
1665831597.69602,10.3138885498,0
1665831597.70877,10.3361110687,0
1665831597.72014,10.3500003815,0
1665831597.73236,10.3305549622,0
1665831597.74474,10.3416671753,0
1665831597.75792,10.3513889313,0
1665831597.77019,10.3249998093,0
1665831597.78167,10.2930555344,0
1665831597.79394,10.3472213745,0
1665831597.80617,10.3472213745,0
1665831597.81928,10.2916669846,0
1665831597.83064,10.286110878,0
1665831597.8428,10.3500003815,0
1665831597.85517,10.3374996185,0
1665831597.86747,10.2916660309,0
1665831597.87937,10.3166666031,0
1665831597.89189,10.3597221375,0
1665831597.90452,10.3152770996,0
1665831597.91691,10.3069438934,0
1665831597.92873,10.2944450378,0
